id,log_price,property_type_encoded,room_type_encoded,bed_type_encoded,city_encoded,neighbourhood_encoded,cancellation_policy_encoded,cleaning_fee_encoded,instant_bookable_encoded,host_identity_verified_encoded,accommodates_numeric,bedrooms_numeric,beds_numeric,bathrooms_numeric,number_of_reviews_numeric,review_scores_rating_numeric,localisation,reputation,couchages,amenities_score,host_experience_years
14483613,4.007333185232471,3,2,1,3,1,1,0,1,1,4,1.0,2.0,2.0,38,86.0,14,45592.00596595855,6.0,184,0.1587953456536618
17954362,3.555348061489413,3,2,1,3,2,3,1,0,1,1,1.0,1.0,1.0,19,96.0,16,40171.61266367085,2.0,211,4.410677618069816
9969781,5.48063892334199,3,5,1,5,3,2,1,0,1,4,2.0,2.0,1.0,15,96.0,20,35693.41451864756,12.0,192,3.4387405886379194
12112830,4.394449154672439,4,5,-1,3,2,2,0,0,1,3,0.0,2.0,1.0,213,93.0,19,126227.99932265424,0.0,215,3.964407939767282
94477,5.521460917862246,7,5,1,3,4,2,1,0,1,4,2.0,3.0,1.0,77,96.0,32,80870.0717942058,14.0,137,2.047912388774812
13642074,6.324358962381313,3,5,1,4,3,1,1,0,0,10,5.0,8.0,3.5,1,100.0,19,10000.0,50.0,278,2.209445585215606
16333868,4.867534450455582,7,2,1,5,3,1,1,0,1,2,1.0,1.0,1.0,52,99.0,32,70676.01610164512,3.0,159,4.65160848733744
4889948,4.553876891600541,7,2,1,5,5,3,1,0,0,2,1.0,1.0,1.0,2,80.0,36,9050.966799187809,3.0,63,0.4791238877481177
4984951,4.31748811353631,3,2,-1,2,3,3,1,0,1,2,1.0,1.0,1.0,66,95.0,17,73319.44660183955,3.0,121,3.1129363449692
17735336,4.23410650459726,7,2,1,3,2,2,1,0,1,2,1.0,2.0,1.0,16,91.0,28,33124.0,4.0,207,4.158795345653662
15607852,5.521460917862246,3,5,1,2,3,1,1,0,0,10,3.0,3.0,2.0,5,80.0,17,14310.835055998654,39.0,118,0.3039014373716632
9844161,5.988961416889862,9,5,1,2,5,2,1,0,1,4,2.0,2.0,2.0,7,97.0,39,24893.874085806736,12.0,186,5.494866529774128
15888375,4.07753744390572,3,2,1,2,3,2,1,0,1,2,1.0,1.0,1.0,29,99.0,17,52780.00027472527,3.0,147,3.5509924709103355
20730943,4.3694478524670215,7,2,1,3,5,2,1,0,1,2,1.0,1.0,1.0,23,91.0,34,39714.280844552624,3.0,192,2.099931553730322
14649625,4.74493212836325,7,5,1,3,4,3,1,0,1,2,1.0,1.0,1.0,2,100.0,32,14142.135623730952,3.0,90,2.844626967830253
6587722,4.90527477843843,7,5,1,3,4,2,1,0,1,2,1.0,1.0,1.0,9,98.0,32,28812.0,3.0,224,2.740588637919233
1721109,5.598421958998375,4,5,1,5,3,1,1,0,0,4,1.0,2.0,1.0,1,100.0,23,10000.0,6.0,249,0.7145790554414785
239834,4.442651256490317,7,5,1,3,3,2,1,0,0,3,1.0,1.0,1.0,10,100.0,30,31622.7766016838,4.0,89,2.140999315537304
17025789,4.7791234931115305,7,5,1,1,5,1,1,0,1,4,2.0,2.0,2.0,120,96.0,32,100956.22179935222,12.0,203,2.724161533196441
856064,4.174387269895637,7,2,1,3,4,1,1,0,1,1,1.0,1.0,1.0,7,90.0,32,21430.585619623183,2.0,120,6.275154004106776
1393654,5.521460917862246,7,5,1,1,5,2,1,0,1,4,2.0,2.0,1.5,5,96.0,32,20607.602480638063,12.0,181,1.188227241615332
17714457,6.551080335043403,3,5,1,2,4,2,1,0,1,10,8.0,10.0,3.0,3,93.0,19,14980.50743466322,50.0,121,0.7063655030800822
13734253,4.934473933130692,7,5,1,4,4,1,1,0,0,2,1.0,1.0,1.0,29,99.0,33,52780.00027472527,3.0,177,4.424366872005476
664206,4.4998096703302615,7,2,1,3,4,2,0,0,1,2,1.0,1.0,1.0,1,100.0,32,10000.0,3.0,91,1.325119780971937
20713511,4.59511985013459,7,2,1,3,1,3,1,1,0,2,1.0,2.0,1.5,1,100.0,26,10000.0,4.0,116,0.0
14898753,4.382026634673881,7,2,1,3,4,1,0,0,1,2,1.0,1.0,1.0,13,100.0,32,36055.51275463989,3.0,82,2.759753593429158
14670800,5.010635294096256,7,5,1,3,3,1,1,0,0,6,3.0,3.0,2.5,28,97.0,30,49787.74817161347,27.0,86,0.0328542094455852
14104613,5.220355825078324,7,5,1,3,4,1,1,1,0,3,1.0,1.0,1.0,5,96.0,32,20607.602480638063,4.0,159,1.779603011635866
9299515,4.700480365792417,7,5,1,3,2,2,1,0,0,4,1.0,2.0,1.0,20,99.0,28,43831.40449495088,6.0,102,2.951403148528405
15889115,5.4380793089231965,7,5,1,3,4,3,0,0,0,2,1.0,1.0,2.0,2,100.0,32,14142.135623730952,3.0,167,0.0
17763283,4.174387269895637,3,2,1,2,1,2,0,0,1,2,1.0,1.0,1.0,45,97.0,13,63117.49080088657,3.0,190,4.602327173169062
238746,4.007333185232471,7,1,1,3,4,1,0,0,0,1,1.0,1.0,1.0,6,80.0,32,15676.73435381234,2.0,48,2.16290212183436
16437907,4.867534450455582,7,2,1,3,4,1,1,0,1,6,2.0,3.0,1.0,1,100.0,32,10000.0,18.0,147,1.212867898699521
13074357,5.799092654460528,3,5,1,2,5,1,1,0,0,7,3.0,3.0,2.0,19,99.0,21,42721.56854564215,30.0,230,0.840520191649555
15896468,4.605170185988092,7,2,1,3,5,2,1,0,1,2,1.0,1.0,1.0,41,87.0,34,48465.24735312923,3.0,82,4.887063655030801
20618317,5.298317366548036,7,5,1,3,3,1,1,0,0,7,2.0,4.0,2.0,4,90.0,30,16200.0,22.0,180,0.0
6329973,5.416100402204419,7,5,1,3,4,3,1,0,1,4,2.0,3.0,1.0,24,100.0,32,48989.79485566356,14.0,180,1.2840520191649556
9507100,4.07753744390572,3,2,1,2,2,3,1,1,1,2,1.0,1.0,1.0,19,98.0,15,41862.86545376464,3.0,130,1.2320328542094456
840391,4.382026634673881,7,2,1,2,5,3,0,1,1,2,1.0,1.0,1.0,103,86.0,33,75061.20201542205,3.0,85,4.01368925393566
18520172,4.605170185988092,7,2,1,3,5,3,1,0,0,2,1.0,1.0,1.0,2,80.0,34,9050.966799187809,3.0,61,1.7987679671457906
17222350,3.912023005428147,7,2,1,3,3,1,1,0,1,1,1.0,1.0,1.0,6,90.0,30,19840.866916543742,2.0,87,2.028747433264887
16123943,4.3694478524670215,7,5,1,2,2,1,1,1,0,6,1.0,3.0,1.0,37,79.0,27,37962.52095159119,9.0,126,1.3634496919917864
5317981,4.02535169073515,7,2,1,3,2,1,1,0,1,2,1.0,1.0,1.0,43,96.0,28,60433.35343996724,3.0,83,1.2265571526351813
16402087,4.477336814478207,7,2,1,3,4,3,1,0,0,2,1.0,1.0,1.0,2,80.0,32,9050.966799187809,3.0,114,1.1197809719370295
13137300,5.293304824724492,7,5,1,2,5,1,1,1,1,4,2.0,2.0,2.0,11,87.0,33,25103.53303820002,12.0,188,2.8802190280629705
15769369,5.1929568508902095,7,5,1,3,4,1,1,1,1,2,1.0,1.0,1.0,10,95.0,32,28539.555883019624,3.0,133,4.958247775496235
7281375,5.488937726156687,3,5,1,2,3,3,1,0,1,10,3.0,3.0,3.0,59,89.0,17,60842.355468867245,39.0,202,1.571526351813826
12984787,5.991464547107983,7,5,1,3,3,1,1,0,1,6,4.0,4.0,3.0,1,100.0,30,10000.0,40.0,102,4.550308008213553
15666309,4.174387269895637,7,2,1,3,3,2,0,0,1,2,1.0,1.0,1.0,40,96.0,30,58287.10183222357,3.0,128,2.529774127310062
14480430,5.010635294096256,4,5,1,2,5,2,1,0,1,3,1.0,1.0,1.0,126,95.0,24,101305.37374690449,4.0,131,3.808350444900753
1174537,4.4188406077965965,7,5,1,3,2,1,1,0,1,3,0.0,2.0,1.0,12,92.0,28,29320.156070525954,0.0,165,0.0
18841034,5.855071922202427,7,5,1,5,4,2,1,0,1,4,2.0,2.0,2.0,23,84.0,34,33839.38722849455,12.0,107,8.429842573579739
13764901,5.298317366548036,7,5,1,2,4,1,1,0,1,4,1.0,2.0,1.0,32,97.0,31,53225.34163347381,6.0,169,1.757700205338809
1892476,4.31748811353631,7,5,1,3,3,2,1,0,1,2,1.0,1.0,1.0,1,100.0,30,10000.0,3.0,72,4.695414099931554
19716328,5.416100402204419,7,5,1,3,5,1,1,0,1,2,1.0,1.0,1.0,1,100.0,34,10000.0,3.0,88,3.4962354551676933
9905783,4.74493212836325,9,5,1,3,4,1,1,1,1,3,0.0,2.0,1.0,8,97.0,38,26612.670816736903,0.0,214,4.810403832991102
20780877,5.393627546352364,7,5,1,3,5,2,1,0,0,2,1.0,1.0,1.5,1,100.0,34,10000.0,3.0,80,3.3347022587268995
4025329,4.007333185232471,7,2,1,3,2,2,1,0,1,2,1.0,1.0,1.0,10,96.0,28,29143.550916111784,3.0,201,0.0
13039122,4.23410650459726,6,2,1,3,2,1,1,0,1,2,1.0,1.0,2.0,24,88.0,25,37937.697136225856,3.0,118,1.4647501711156743
11476512,4.74493212836325,7,2,1,3,5,3,1,1,0,2,1.0,1.0,1.0,12,98.0,34,33269.23191178299,3.0,136,3.559206023271732
11992914,5.075173815233828,7,5,1,3,5,2,1,0,1,2,1.0,2.0,1.0,5,84.0,34,15777.695649238516,4.0,81,4.37782340862423
18675083,3.80666248977032,7,2,1,3,1,1,1,1,1,3,1.0,2.0,1.0,244,97.0,26,146973.27840121143,5.0,84,1.5030800821355237
12004744,4.976733742420574,7,5,1,3,4,2,1,0,1,2,0.0,1.0,1.0,3,100.0,32,17320.508075688773,0.0,137,1.6016427104722792
8195318,4.143134726391533,3,2,1,3,3,1,1,0,1,2,1.0,1.0,1.0,23,95.0,18,43282.37949789729,3.0,116,2.217659137577002
19087867,5.521460917862246,7,5,1,3,5,2,1,0,1,2,1.0,1.0,1.0,3,100.0,34,17320.508075688773,3.0,114,1.431895961670089
14796238,4.653960350157523,4,2,1,3,3,1,0,0,1,4,2.0,2.0,1.5,64,99.0,21,78408.0,12.0,253,2.3436002737850785
