id,log_price,property_type_encoded,room_type_encoded,bed_type_encoded,city_encoded,neighbourhood_encoded,cancellation_policy_encoded,cleaning_fee_encoded,instant_bookable_encoded,host_identity_verified_encoded,accommodates_numeric,bedrooms_numeric,beds_numeric,bathrooms_numeric,number_of_reviews_numeric,review_scores_rating_numeric,latitude_numeric,longitude_numeric,localisation,reputation,couchages,amenities_score,host_experience_years
14483613,4.007333185232471,3,2,1,3,1,1,0,1,1,4,1.0,2.0,2.0,38,86.0,40.70546838788719,-73.90943907113144,14,45592.00596595855,6.0,184,0.1587953456536618
17954362,3.555348061489413,3,2,1,3,2,3,1,0,1,1,1.0,1.0,1.0,19,96.0,40.736001493665405,-73.92424760162338,16,40171.61266367085,2.0,211,4.410677618069816
9969781,5.48063892334199,3,5,1,5,3,2,1,0,1,4,2.0,2.0,1.0,15,96.0,37.74489588289044,-122.4306650075254,20,35693.41451864756,12.0,192,3.4387405886379194
12112830,4.394449154672439,4,5,-1,3,2,2,0,0,1,3,0.0,2.0,1.0,213,93.0,40.75249503889759,-73.81125637682926,19,126227.99932265424,0.0,215,3.964407939767282
94477,5.521460917862246,7,5,1,3,4,2,1,0,1,4,2.0,3.0,1.0,77,96.0,40.783344481996096,-73.97577539157197,32,80870.0717942058,14.0,137,2.047912388774812
13642074,6.324358962381313,3,5,1,4,3,1,1,0,0,10,5.0,8.0,3.5,1,100.0,38.985535414656326,-77.02977426794116,19,10000.0,50.0,278,2.209445585215606
16333868,4.867534450455582,7,2,1,5,3,1,1,0,1,2,1.0,1.0,1.0,52,99.0,37.76094673871102,-122.42098332489212,32,70676.01610164512,3.0,159,4.65160848733744
4889948,4.553876891600541,7,2,1,5,5,3,1,0,0,2,1.0,1.0,1.0,2,80.0,42.348468931543714,-71.06020839932364,36,9050.966799187809,3.0,63,0.4791238877481177
4984951,4.31748811353631,3,2,-1,2,3,3,1,0,1,2,1.0,1.0,1.0,66,95.0,34.07436492271551,-118.25619450180892,17,73319.44660183955,3.0,121,3.1129363449692
17735336,4.23410650459726,7,2,1,3,2,2,1,0,1,2,1.0,2.0,1.0,16,91.0,40.82378341602836,-73.9545126143915,28,33124.0,4.0,207,4.158795345653662
15607852,5.521460917862246,3,5,1,2,3,1,1,0,0,10,3.0,3.0,2.0,5,80.0,34.01966923691612,-118.43605729307392,17,14310.835055998654,39.0,118,0.3039014373716632
9844161,5.988961416889862,9,5,1,2,5,2,1,0,1,4,2.0,2.0,2.0,7,97.0,34.00482662719524,-118.48977313785394,39,24893.874085806736,12.0,186,5.494866529774128
