id,log_price,property_type_encoded,room_type_encoded,bed_type_encoded,city_encoded,neighbourhood_encoded,cancellation_policy_encoded,amenities_score,host_experience_years,cleaning_fee_encoded,instant_bookable_encoded,host_identity_verified_encoded,accommodates_numeric,bedrooms_numeric,beds_numeric,bathrooms_numeric,number_of_reviews_numeric,review_scores_rating_numeric,latitude_numeric,longitude_numeric
14483613,4.007333185232471,3,2,1,3,1,1,184,0.15879534565366188,0,1,1,4,1.0,2.0,2.0,38,86.0,40.70546838788719,-73.90943907113144
17954362,3.555348061489413,3,2,1,3,2,3,211,4.4106776180698155,1,0,1,1,1.0,1.0,1.0,19,96.0,40.736001493665405,-73.92424760162338
9969781,5.48063892334199,3,5,1,5,3,2,192,3.4387405886379194,1,0,1,4,2.0,2.0,1.0,15,96.0,37.74489588289044,-122.4306650075254
12112830,4.394449154672439,4,5,-1,3,2,2,215,3.9644079397672827,0,0,1,3,0.0,2.0,1.0,213,93.0,40.75249503889759,-73.81125637682926
94477,5.521460917862246,7,5,1,3,4,2,137,2.0479123887748116,1,0,1,4,2.0,3.0,1.0,77,96.0,40.783344481996096,-73.97577539157197
13642074,6.324358962381313,3,5,1,4,3,1,278,2.209445585215606,1,0,0,10,5.0,8.0,3.5,1,100.0,38.985535414656326,-77.02977426794116
16333868,4.867534450455582,7,2,1,5,3,1,159,4.65160848733744,1,0,1,2,1.0,1.0,1.0,52,99.0,37.76094673871102,-122.42098332489212
4889948,4.553876891600541,7,2,1,5,5,3,63,0.4791238877481177,1,0,0,2,1.0,1.0,1.0,2,80.0,42.348468931543714,-71.06020839932364
4984951,4.31748811353631,3,2,-1,2,3,3,121,3.1129363449691994,1,0,1,2,1.0,1.0,1.0,66,95.0,34.07436492271551,-118.25619450180892
17735336,4.23410650459726,7,2,1,3,2,2,207,4.158795345653662,1,0,1,2,1.0,2.0,1.0,16,91.0,40.82378341602836,-73.9545126143915
15607852,5.521460917862246,3,5,1,2,3,1,118,0.30390143737166325,1,0,0,10,3.0,3.0,2.0,5,80.0,34.01966923691612,-118.43605729307392
9844161,5.988961416889862,9,5,1,2,5,2,186,5.494866529774128,1,0,1,4,2.0,2.0,2.0,7,97.0,34.00482662719524,-118.48977313785394
15888375,4.07753744390572,3,2,1,2,3,2,147,3.5509924709103355,1,0,1,2,1.0,1.0,1.0,29,99.0,34.175090125773174,-118.51246187284748
20730943,4.3694478524670215,7,2,1,3,5,2,192,2.099931553730322,1,0,1,2,1.0,1.0,1.0,23,91.0,40.744234036246745,-73.97741657008278
14649625,4.74493212836325,7,5,1,3,4,3,90,2.844626967830253,1,0,1,2,1.0,1.0,1.0,2,100.0,40.71382776376071,-73.95272546200293
6587722,4.90527477843843,7,5,1,3,4,2,224,2.7405886379192332,1,0,1,2,1.0,1.0,1.0,9,98.0,40.6832784899203,-73.99820729402397
1721109,5.598421958998375,4,5,1,5,3,1,249,0.7145790554414785,1,0,0,4,1.0,2.0,1.0,1,100.0,37.78824209530893,-122.41180115041772
239834,4.442651256490317,7,5,1,3,3,2,89,2.1409993155373033,1,0,0,3,1.0,1.0,1.0,10,100.0,40.68835433750996,-73.94092138119458
17025789,4.7791234931115305,7,5,1,1,5,1,203,2.724161533196441,1,0,1,4,2.0,2.0,2.0,120,96.0,41.911465120597626,-87.66968250115956
856064,4.174387269895637,7,2,1,3,4,1,120,6.275154004106776,1,0,1,1,1.0,1.0,1.0,7,90.0,40.71327239385582,-73.96437696597037
1393654,5.521460917862246,7,5,1,1,5,2,181,1.1882272416153319,1,0,1,4,2.0,2.0,1.5,5,96.0,41.904736310954014,-87.6645343222712
17714457,6.551080335043403,3,5,1,2,4,2,121,0.7063655030800822,1,0,1,10,8.0,10.0,3.0,3,93.0,34.13923296151074,-118.15965976999844
13734253,4.934473933130692,7,5,1,4,4,1,177,4.424366872005476,1,0,0,2,1.0,1.0,1.0,29,99.0,38.91153975229425,-77.02345525852142
664206,4.4998096703302615,7,2,1,3,4,2,91,1.325119780971937,0,0,1,2,1.0,1.0,1.0,1,100.0,40.727837185921466,-73.94937389193045
20713511,4.59511985013459,7,2,1,3,1,3,116,0.0,1,1,0,2,1.0,2.0,1.5,1,100.0,40.714498059617576,-73.91050563935295
14898753,4.382026634673881,7,2,1,3,4,1,82,2.759753593429158,0,0,1,2,1.0,1.0,1.0,13,100.0,40.69488798574623,-73.96496442726678
14670800,5.010635294096256,7,5,1,3,3,1,86,0.03285420944558522,1,0,0,6,3.0,3.0,2.5,28,97.0,40.67947915384583,-73.90822358259864
14104613,5.220355825078324,7,5,1,3,4,1,159,1.7796030116358659,1,1,0,3,1.0,1.0,1.0,5,96.0,40.77679407410081,-73.94521156293997
9299515,4.700480365792417,7,5,1,3,2,2,102,2.951403148528405,1,0,0,4,1.0,2.0,1.0,20,99.0,40.63366041037924,-74.07687137127054
15889115,5.4380793089231965,7,5,1,3,4,3,167,0.0,0,0,0,2,1.0,1.0,2.0,2,100.0,40.71745710548387,-73.95696339341454
17763283,4.174387269895637,3,2,1,2,1,2,190,4.602327173169062,0,0,1,2,1.0,1.0,1.0,45,97.0,33.86446623630723,-118.35341179197644
238746,4.007333185232471,7,1,1,3,4,1,48,2.16290212183436,0,0,0,1,1.0,1.0,1.0,6,80.0,40.71794768913957,-73.94929740666088
16437907,4.867534450455582,7,2,1,3,4,1,147,1.212867898699521,1,0,1,6,2.0,3.0,1.0,1,100.0,40.70745371666163,-73.94511102777966
13074357,5.799092654460528,3,5,1,2,5,1,230,0.840520191649555,1,0,0,7,3.0,3.0,2.0,19,99.0,34.065836976515165,-118.37637219295912
15896468,4.605170185988092,7,2,1,3,5,2,82,4.887063655030801,1,0,1,2,1.0,1.0,1.0,41,87.0,40.746476532208135,-73.98458614840642
20618317,5.298317366548036,7,5,1,3,3,1,180,0.0,1,0,0,7,2.0,4.0,2.0,4,90.0,40.80276447557402,-73.95819896353267
6329973,5.416100402204419,7,5,1,3,4,3,180,1.2840520191649556,1,0,1,4,2.0,3.0,1.0,24,100.0,40.69080213674855,-73.97026808761451
9507100,4.07753744390572,3,2,1,2,2,3,130,1.2320328542094456,1,1,1,2,1.0,1.0,1.0,19,98.0,34.042459008337765,-118.31487972912744
840391,4.382026634673881,7,2,1,2,5,3,85,4.01368925393566,0,1,1,2,1.0,1.0,1.0,103,86.0,34.02718984484199,-118.49252451437134
18520172,4.605170185988092,7,2,1,3,5,3,61,1.7987679671457906,1,0,0,2,1.0,1.0,1.0,2,80.0,40.74649953411001,-73.99100307752838
17222350,3.912023005428147,7,2,1,3,3,1,87,2.028747433264887,1,0,1,1,1.0,1.0,1.0,6,90.0,40.66783661285224,-73.95770338455891
16123943,4.3694478524670215,7,5,1,2,2,1,126,1.3634496919917864,1,1,0,6,1.0,3.0,1.0,37,79.0,34.030469897075605,-118.26508429684024
5317981,4.02535169073515,7,2,1,3,2,1,83,1.2265571526351813,1,0,1,2,1.0,1.0,1.0,43,96.0,40.69638657873638,-73.91007614785174
16402087,4.477336814478207,7,2,1,3,4,3,114,1.1197809719370295,1,0,0,2,1.0,1.0,1.0,2,80.0,40.71324789806632,-73.94915547772204
13137300,5.293304824724492,7,5,1,2,5,1,188,2.8802190280629705,1,1,1,4,2.0,2.0,2.0,11,87.0,34.0604599802465,-118.39452488529452
15769369,5.1929568508902095,7,5,1,3,4,1,133,4.958247775496235,1,1,1,2,1.0,1.0,1.0,10,95.0,40.71685738625852,-73.9587723482137
7281375,5.488937726156687,3,5,1,2,3,3,202,1.571526351813826,1,0,1,10,3.0,3.0,3.0,59,89.0,34.162240617759515,-118.2734315309375
12984787,5.991464547107983,7,5,1,3,3,1,102,4.550308008213553,1,0,1,6,4.0,4.0,3.0,1,100.0,40.68340055929449,-73.95614036288377
15666309,4.174387269895637,7,2,1,3,3,2,128,2.529774127310062,0,0,1,2,1.0,1.0,1.0,40,96.0,40.68172557292941,-74.00365733538655
14480430,5.010635294096256,4,5,1,2,5,2,131,3.808350444900753,1,0,1,3,1.0,1.0,1.0,126,95.0,33.994491110856835,-118.47681332650028
1174537,4.4188406077965965,7,5,1,3,2,1,165,0.0,1,0,1,3,0.0,2.0,1.0,12,92.0,40.65429840375303,-73.91488182080529
18841034,5.855071922202427,7,5,1,5,4,2,107,8.429842573579739,1,0,1,4,2.0,2.0,2.0,23,84.0,37.77386691710048,-122.44688952561016
13764901,5.298317366548036,7,5,1,2,4,1,169,1.757700205338809,1,0,1,4,1.0,2.0,1.0,32,97.0,34.09345499991145,-118.323356765366
1892476,4.31748811353631,7,5,1,3,3,2,72,4.695414099931554,1,0,1,2,1.0,1.0,1.0,1,100.0,40.67291873316242,-73.9413656986493
19716328,5.416100402204419,7,5,1,3,5,1,88,3.4962354551676933,1,0,1,2,1.0,1.0,1.0,1,100.0,40.73101844191356,-73.98441071031377
