,with_amenity,without_amenity,diff_pct,count
Family/kid friendly,181.42652909000498,115.07464266807835,57.65986744213685,8044
Cable TV,189.5255435743327,126.3957558081062,49.94612941123594,5657
Wireless Internet,150.0147983237297,115.46646341463415,29.920666042255284,15272
Hair dryer,160.3064631043257,130.54337662337662,22.79938458066463,9825
24-hour check-in,171.44628459359336,140.05376441740077,22.414620775657117,4589
Laptop friendly workspace,158.6124471049644,134.00490610725765,18.36316423968152,9689
Fire extinguisher,162.80608695652174,138.5674712643678,17.49228406276532,6900
Carbon monoxide detector,156.82930298719774,133.557665677547,17.42441153908476,10545
Free parking on premises,164.53350796769266,142.9504492240675,15.098279761118347,4581
Smoke detector,151.95402641988207,133.06088141753747,14.198872577026588,13399
Buzzer/wireless intercom,160.1465271170314,145.28281853281854,10.23087845783722,4204
First aid kit,153.61393442622952,146.51094736842106,4.848093050649019,6100
Air conditioning,150.60872142252327,145.1741424802111,3.7434896114871017,11810
translation missing: en.hosting_amenity_50,118.68207580588027,166.64858348402652,-28.78302753935133,5646
translation missing: en.hosting_amenity_49,111.92923691215617,164.471871619185,-31.946273967554184,4508
