,accommodates,bedrooms,beds,bathrooms,log_price,price,amenities_count,premium_score,price_per_person,price_per_bedroom
accommodates,1.0,0.7228061192540389,0.8300379194377979,0.48878934025388254,0.580265818849939,0.5770101279694239,0.24024163928394274,0.3912433779232327,-0.19363899610904123,0.13973999823363734
bedrooms,0.7228061192540389,1.0,0.7022687079883801,0.571990728914344,0.4867183006183933,0.5629184967312956,0.17210233443871617,0.25286238701857117,-0.03930474505881066,-0.04941006751744609
beds,0.8300379194377979,0.7022687079883801,1.0,0.5122679013925378,0.4511940298150524,0.4959996947480441,0.21312285924924632,0.3170021829904169,-0.13532027476029926,0.03967499448937457
bathrooms,0.48878934025388254,0.571990728914344,0.5122679013925378,1.0,0.34723092474962813,0.49741287802916456,0.13130833777765444,0.1758800577473671,0.043789101359551066,0.05373827908796697
log_price,0.580265818849939,0.4867183006183933,0.4511940298150524,0.34723092474962813,1.0,0.8621335126509563,0.16369863054817113,0.3550983999571645,0.5313258489266545,0.7334129584127927
price,0.5770101279694239,0.5629184967312956,0.4959996947480441,0.49741287802916456,0.8621335126509563,1.0,0.15088073224432866,0.28421325088517413,0.5273327137888896,0.677526422063067
amenities_count,0.24024163928394274,0.17210233443871617,0.21312285924924632,0.13130833777765444,0.16369863054817113,0.15088073224432866,1.0,0.5318194757335668,-0.04908088153769887,0.052853883705582666
premium_score,0.3912433779232327,0.25286238701857117,0.3170021829904169,0.1758800577473671,0.3550983999571645,0.28421325088517413,0.5318194757335668,1.0,-0.02624170773673703,0.17774336549163552
price_per_person,-0.19363899610904123,-0.03930474505881066,-0.13532027476029926,0.043789101359551066,0.5313258489266545,0.5273327137888896,-0.04908088153769887,-0.02624170773673703,1.0,0.7411206319267503
price_per_bedroom,0.13973999823363734,-0.04941006751744609,0.03967499448937457,0.05373827908796697,0.7334129584127927,0.677526422063067,0.052853883705582666,0.17774336549163552,0.7411206319267503,1.0
