city,neighbourhood,count,mean_price,median_price,total_count,premium_ratio
LA,Malibu,36,524.6944444444445,495.0,36,0.6666666666666666
SF,Cole Valley,17,274.5882352941176,300.0000000000002,17,0.5294117647058824
NYC,Tribeca,24,352.6666666666666,258.5,24,0.4583333333333333
NYC,Noho,11,348.36363636363643,245.0000000000001,11,0.45454545454545453
DC,Georgetown,30,271.6,205.99999999999983,30,0.43333333333333335
Boston,Chinatown,21,252.71428571428575,209.00000000000017,21,0.42857142857142855
SF,Cow Hollow,21,289.3333333333335,199.99999999999991,21,0.42857142857142855
SF,Telegraph Hill,22,249.95454545454552,225.00000000000017,22,0.4090909090909091
Chicago,Wrigleyville,15,232.9333333333334,239.99999999999977,15,0.4
DC,Downtown/Penn Quarter,15,239.26666666666668,199.99999999999991,15,0.4
